115,"BURGESS & PARTNERS (PTY) LTD",T-BUR20
116,"BUYELA ENGINEERING",T-BYE10
117,"BYTES DOCUMENT SOLUTIONS",T-BYT10
118,"CASPIAN FREIGHT PTY LTD",T-CAF10
119,"Caspian Freight",T-CAF20
120,"C AND J EARTHMOVING REPAIRS (PTY) LTD",T-CAJ10
121,"CAMERON HAULIERS",T-CAM20
122,CAMTECH,T-CAM40
123,"CAPE GATE (PTY) LTD",T-CAP10
124,"CARGO COMMERCIAL VEHICLES AIRPORT",T-CAR10
125,"CARGO COMMERCIAL VEHICLES GERMISTON",T-CAR20
126,"CARGO M2 CITY",T-CAR40
127,"CASCADE CORPORATION (AFRICA) (PTY) LTD",T-CAS10
128,"CBC BODY CONSTRUCTION cc",T-CBC10
129,"COMPRESSOR BREAKDOWN REPAIRS (PTY) LTD",T-CBR10
130,"CHIMES CRANE HIRE",T-CCH10
131,"C.C. IMELMANN (PTY) LTD",T-CCI10
132,"CCL ENGINEERING",T-CCL10
133,"CRANE CERTIFICATE AND REPAIR",T-CCR10
134,"CARPET & DECOR CENTRE",T-CDC
135,"CDS CONSTRUCTION",T-CDS10
136,"CEMCRETE GROUP (PTY) LTD",T-CEM10
137,"CENTLUBE (PTY) LTD",T-CEN40
138,"CREATIVE EQUIPMENT (PTY) LTD",T-CEP10
139,"CEVA LOGISTICS SA PTY LTD",T-CEV10
140,"CANOPY REEF",T-CFR10
141,"CFW FANS (PTY) Ltd",T-CFW10
142,CHAZENS,T-CHA20
143,"CHEMSEARCH - SPECIALISED CHEMICAL SOL (PTY) LTD",T-CHE50
144,"CHEMRAD SERVICES CC",T-CHEM10
145,"CHICK HENDERSON",T-CHI10
146,"CHURCH STREET PAINT & HARDWARE",T-CHU10
147,"CHUBB SECURITY S.A. (PTY) LTD",T-CHU20
148,"CITY OF JHB (WASTE MANAGEMENT)",T-CIT10
149,"C.J. PROJECTS",T-CJP10
150,"CLEEAR ASSET (PTY) LTD",T-CLE10
151,"CLEAR FREIGHT (PTY) LTD",T-CLE20
152,"CLIVES MOTOR TRIMMERS",T-CLI10
153,"CLIVE'S SECURITY ESCORTS",T-CLI40
154,"CLOTAN STEEL (PTY) LTD",T-CLO10
155,"CLOSEAL MANUFACTURING CC",T-CLO20
156,"C. MAPILA PLUMBING SERVICES",T-CMA10
157,"CMH LUXURY MOTORS (LYNDHURST) (PTY) LTD",T-CMH10
158,"COBALT ENGINEERING CC",T-COB20
159,"CITY OF JOBURG STD # 156",T-COJ156
160,"CITY OF JOBURG STD # 50",T-COJ50
161,"CITY OF JOBURG STD # 51",T-COJ51
162,"CITY OF JOBURG STD # 54",T-COJ54
163,"COLMANS ENGINES (PTY) LTD",T-COL10
164,"CO.M.I.R INDUSTRIAL SA cc",T-COM10
165,"COMPRESSOR VESSELTESTERS C.C.",T-COMP40
166,"CONVEYTRAC (PTY) LTD",T-CON10
167,"CONELEC (PTY) LTD",T-CON20
168,"CONSOLIDATED AUCTIONEERS",T-CON50
169,"CONTINENTAL CABLES (PTY) LTD",T-CON70
170,"COOL IDEAS TYFIL (PTY) LTD",T-COO20
171,"COPALCOR TRADING",T-COP20
172,"CRANES DIRECT CC",T-CRA20
173,"CROSIBLE SOUTH AFRICA CC",T-CRO10
174,"CRONIMET TWO JOINT VENTURE",T-CRO30
175,"COMMERCIAL TOWING SOLUTIONS (PTY) LTD",T-CTS10
